,CELL_NAME,IPI_TUNING_ERROR_RMS,FREQ_TUNING_ERROR_RMS,PRESYNAPTIC_TOTAL,PRESYNAPTIC_MISSING,W_PRE_E_TOTAL,W_PRE_I_TOTAL,W_PRE_E_MISSING,W_PRE_I_MISSING,DATA_RESPONSE_IPI_16_MS,DATA_RESPONSE_IPI_36_MS,DATA_RESPONSE_IPI_56_MS,DATA_RESPONSE_IPI_76_MS,DATA_RESPONSE_IPI_96_MS,MODEL_RESPONSE_IPI_16_MS,MODEL_RESPONSE_IPI_36_MS,MODEL_RESPONSE_IPI_56_MS,MODEL_RESPONSE_IPI_76_MS,MODEL_RESPONSE_IPI_96_MS,DATA_RESPONSE_FREQ_100_HZ,DATA_RESPONSE_FREQ_200_HZ,DATA_RESPONSE_FREQ_300_HZ,DATA_RESPONSE_FREQ_500_HZ,DATA_RESPONSE_FREQ_800_HZ,MODEL_RESPONSE_FREQ_100_HZ,MODEL_RESPONSE_FREQ_200_HZ,MODEL_RESPONSE_FREQ_300_HZ,MODEL_RESPONSE_FREQ_500_HZ,MODEL_RESPONSE_FREQ_800_HZ
33,47261_L8,0.054270614071080595,0.538570850728608,38,22,112.0,-18.0,83.0,-8.0,5.569357742218456,17.911398861131456,13.292985566771232,15.393599289035853,8.795376050642586,8.795376050642586,8.795376050642586,8.795376050642586,8.795376050642586,8.795376050642586,-1.8149854520425743,3.6146293598284562,11.94034986844339,4.618443937444209,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272
34,35916_L2,1.9142698552057897,1.6821180586535622,37,23,939.0,-349.0,653.0,-270.0,-17.040994910218142,-13.394721514062912,-9.379029816217198,-12.07172142902503,-11.365904015587748,-11.365904015587748,-11.365904015587748,-11.365904015587748,-11.365904015587748,-11.365904015587748,21.47692518072541,3.7604395358106477,0.6905415103827303,5.680380525218947,0.5746785037386073,0.5746785037386073,0.5746785037386073,0.5746785037386073,0.5746785037386073,0.5746785037386073
35,16374-27885_R3,0.7378701730358018,0.9965515692045754,37,6,126.0,-97.0,7.0,-81.0,8.394826370207042,-11.050935504520227,-11.462595411434854,-12.866484154057115,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,17.525803767074805,19.66954443389557,16.945530021348567,13.962841187769412,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933
36,WED-VLP-2_L4,0.32851343810195854,0.5290677622058051,36,10,185.0,-90.0,11.0,-59.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
37,WED-VLP-1_R5,0.3256478209265702,0.4726903040670946,36,5,209.0,-161.0,0.0,-98.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
38,WED-VLP-1_R6,0.49033621119382326,0.5122784934689913,36,6,197.0,-199.0,0.0,-92.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
39,47261_L1,0.20244656557109503,0.48253370875731316,35,14,105.0,-17.0,88.0,-4.0,5.569357742218456,17.911398861131456,13.292985566771232,15.393599289035853,8.795376050642586,8.795376050642586,8.795376050642586,8.795376050642586,8.795376050642586,8.795376050642586,-1.8149854520425743,3.6146293598284562,11.94034986844339,4.618443937444209,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272,-0.005104070942629272
40,16374-27885_R4,0.6012014422325846,0.7659413781953065,35,3,321.0,-22.0,1.0,-4.0,8.394826370207042,-11.050935504520227,-11.462595411434854,-12.866484154057117,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,17.525803767074805,19.66954443389557,16.945530021348567,13.962841187769412,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933
41,40316_La7,1.924156707960688,0.9068245625542319,35,17,159.0,-11.0,77.0,-1.0,13.472274629641074,10.197485234784974,12.766476349649315,12.520569022332737,13.83395414610875,13.83395414610875,13.83395414610875,13.83395414610875,13.83395414610875,13.83395414610875,9.175834593136047,13.80095929697051,18.3745163695926,5.2306646053518255,3.532292862953362,3.532292862953362,3.532292862953362,3.532292862953362,3.532292862953362,3.532292862953362
42,WED-VLP-1_R2,0.33165454552780915,0.48270030041441786,35,6,225.0,-168.0,0.0,-85.0,19.15228532235518,13.5370708468251,6.571547537525868,5.359821070560954,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,4.593566202596505,-0.2982939513165806,16.75321712815369,14.676560339474593,1.3428418533812145,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776,0.034758402006488776
43,16374-27885_L5,0.6598637331214077,0.8663819796724581,34,4,95.0,-65.0,0.0,-56.0,8.394826370207042,-11.050935504520227,-11.462595411434854,-12.866484154057117,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,-10.540975194480898,17.525803767074805,19.66954443389557,16.945530021348567,13.962841187769412,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933,13.748475880799933
